TestData_WithEMG.csv
Sensor_1_IM_EMG1,Sensor_2_IM_EMG2,Sensor_3_IM_EMG3,Sensor_4_IM_EMG4,Sensor_5_IM_EMG5,Sensor_6_IM_EMG6,Sensor_7_IM_EMG7,Sensor_8_IM_EMG8,Sensor_9_IM_EMG9,Sensor_10_IM_EMG10,Sensor_11_IM_EMG11,Sensor_12_IM_EMG12,Sensor_13_IM_EMG13,Sensor_14_IM_EMG14,Sensor_15_IM_EMG15,Sensor_16_IM_EMG16,
-0.00000357,0.00000556,-0.00002155,-0.00000816,0.00000000,0.00000000,-0.00001763,-0.00000514,-0.00002652,0.00002578,-0.00001160,0.00002418,0.00000020,0.00007698,-0.00005917,-0.00001013,
-0.00000948,0.00000365,-0.00001693,-0.00000878,0.00000000,0.00000000,-0.00001697,-0.00000731,-0.00002559,0.00002687,-0.00001057,0.00000860,-0.00000146,0.00005770,-0.00004237,-0.00001184,
-0.00001273,0.00000259,-0.00001280,-0.00000874,0.00000000,0.00000000,-0.00001648,-0.00001043,-0.00002462,0.00002550,-0.00000964,-0.00000831,-0.00000245,0.00000898,-0.00002697,-0.00001189,
-0.00001261,0.00000261,-0.00000897,-0.00000816,0.00000000,0.00000000,-0.00001620,-0.00001369,-0.00002512,0.00002344,-0.00000922,-0.00002263,-0.00000146,-0.00003848,-0.00002206,-0.00001369,
-0.00001018,0.00000320,-0.00000641,-0.00000780,0.00000000,0.00000000,-0.00001544,-0.00001596,-0.00002706,0.00002152,-0.00000918,-0.00004822,-0.00000003,-0.00005602,-0.00002434,-0.00001724,
-0.00000724,0.00000398,-0.00000571,-0.00000838,0.00000000,0.00000000,-0.00001467,-0.00001761,-0.00002878,0.00001842,-0.00000918,-0.00007278,0.00000031,-0.00004582,-0.00002255,-0.00002190,
-0.00000478,0.00000494,-0.00000645,-0.00000979,0.00000000,0.00000000,-0.00001525,-0.00002011,-0.00002927,0.00001174,-0.00000931,-0.00006594,-0.00000030,-0.00003065,-0.00000948,-0.00002804,
-0.00000219,0.00000577,-0.00000840,-0.00001149,0.00000000,0.00000000,-0.00001685,-0.00002384,-0.00002974,-0.00000083,-0.00001006,-0.00003606,-0.00000140,-0.00002313,0.00001229,-0.00003465,
0.00000105,0.00000549,-0.00001144,-0.00001319,0.00000000,0.00000000,-0.00001730,-0.00002720,-0.00003069,-0.00001818,-0.00001116,-0.00001567,-0.00000206,-0.00002266,0.00003241,-0.00004002,
0.00000382,0.00000381,-0.00001501,-0.00001473,0.00000000,0.00000000,-0.00001530,-0.00002823,-0.00003058,-0.00003638,-0.00001188,-0.00001695,-0.00000172,-0.00002610,0.00003924,-0.00004364,
0.00000487,0.00000280,-0.00001827,-0.00001532,0.00000000,0.00000000,-0.00001250,-0.00002707,-0.00002917,-0.00005495,-0.00001289,-0.00002664,-0.00000168,-0.00002938,0.00002765,-0.00004594,
0.00000472,0.00000435,-0.00002007,-0.00001468,0.00000000,0.00000000,-0.00001133,-0.00002596,-0.00002811,-0.00008072,-0.00001478,-0.00002282,-0.00000306,-0.00003048,0.00000586,-0.00004652,
0.00000484,0.00000724,-0.00001985,-0.00001377,0.00000000,0.00000000,-0.00001194,-0.00002634,-0.00002843,-0.00011655,-0.00001653,0.00000079,-0.00000482,-0.00003067,-0.00001089,-0.00004448,
0.00000523,0.00000886,-0.00001893,-0.00001314,0.00000000,0.00000000,-0.00001310,-0.00002645,-0.00002951,-0.00014274,-0.00001738,0.00004368,-0.00000580,-0.00003564,-0.00001593,-0.00004152,
0.00000453,0.00000777,-0.00001894,-0.00001227,0.00000000,0.00000000,-0.00001437,-0.00002309,-0.00003051,-0.00013511,-0.00001792,0.00011312,-0.00000624,-0.00005074,-0.00001096,-0.00004022,
0.00000233,0.00000508,-0.00001960,-0.00001117,0.00000000,0.00000000,-0.00001569,-0.00001718,-0.00003116,-0.00009726,-0.00001844,0.00016402,-0.00000659,-0.00006458,0.00000048,-0.00004073,
-0.00000020,0.00000326,-0.00002016,-0.00001086,0.00000000,0.00000000,-0.00001619,-0.00001314,-0.00003144,-0.00005656,-0.00001857,0.00013123,-0.00000660,-0.00006573,0.00001000,-0.00004180,
-0.00000157,0.00000315,-0.00002057,-0.00001128,0.00000000,0.00000000,-0.00001580,-0.00001232,-0.00003163,-0.00003553,-0.00001812,0.00005327,-0.00000602,-0.00006482,0.00001085,-0.00004154,
-0.00000129,0.00000341,-0.00002045,-0.00001085,0.00000000,0.00000000,-0.00001563,-0.00001267,-0.00003129,-0.00002953,-0.00001711,0.00000359,-0.00000540,-0.00006454,0.00000689,-0.00003874,
0.00000055,0.00000321,-0.00001959,-0.00000908,0.00000000,0.00000000,-0.00001587,-0.00001298,-0.00003000,-0.00002381,-0.00001620,-0.00001564,-0.00000516,-0.00005289,0.00000388,-0.00003407,
0.00000377,0.00000307,-0.00001859,-0.00000733,0.00000000,0.00000000,-0.00001563,-0.00001325,-0.00002890,-0.00001799,-0.00001652,-0.00002260,-0.00000479,-0.00003073,0.00000188,-0.00002959,
0.00000709,0.00000308,-0.00001794,-0.00000632,0.00000000,0.00000000,-0.00001466,-0.00001351,-0.00002896,-0.00001496,-0.00001768,-0.00002046,-0.00000349,-0.00000650,-0.00000125,-0.00002920,
0.00000853,0.00000284,-0.00001782,-0.00000562,0.00000000,0.00000000,-0.00001349,-0.00001391,-0.00002921,-0.00001262,-0.00001824,-0.00000889,-0.00000152,0.00001679,-0.00000835,-0.00003424,
0.00000740,0.00000243,-0.00001850,-0.00000493,0.00000000,0.00000000,-0.00001265,-0.00001449,-0.00002827,-0.00001054,-0.00001784,0.00001831,-0.00000035,0.00003792,-0.00002170,-0.00003983,
0.00000518,0.00000157,-0.00001976,-0.00000496,0.00000000,0.00000000,-0.00001222,-0.00001476,-0.00002727,-0.00000994,-0.00001692,0.00004862,-0.00000030,0.00005134,-0.00003660,-0.00004206,
0.00000386,0.00000020,-0.00002074,-0.00000624,0.00000000,0.00000000,-0.00001193,-0.00001420,-0.00002835,-0.00001087,-0.00001583,0.00005644,0.00000004,0.00004963,-0.00004385,-0.00004123,
0.00000354,-0.00000047,-0.00002077,-0.00000752,0.00000000,0.00000000,-0.00001174,-0.00001302,-0.00003051,-0.00001218,-0.00001491,0.00005200,0.00000151,0.00003339,-0.00004112,-0.00003768,
0.00000350,0.00000041,-0.00002021,-0.00000748,0.00000000,0.00000000,-0.00001194,-0.00001210,-0.00003130,-0.00001214,-0.00001438,0.00005400,0.00000411,0.00001293,-0.00003461,-0.00003389,
0.00000389,0.00000214,-0.00002024,-0.00000640,0.00000000,0.00000000,-0.00001240,-0.00001198,-0.00003065,-0.00001011,-0.00001414,0.00005141,0.00000692,-0.00000221,-0.00003077,-0.00003330,
0.00000499,0.00000392,-0.00002159,-0.00000492,0.00000000,0.00000000,-0.00001212,-0.00001203,-0.00003050,-0.00000823,-0.00001375,0.00003802,0.00000765,-0.00001216,-0.00003028,-0.00003312,
0.00000627,0.00000512,-0.00002329,-0.00000346,0.00000000,0.00000000,-0.00001083,-0.00001159,-0.00003161,-0.00000825,-0.00001327,0.00002722,0.00000573,-0.00001917,-0.00002930,-0.00002959,
0.00000675,0.00000518,-0.00002348,-0.00000251,0.00000000,0.00000000,-0.00001005,-0.00001110,-0.00003215,-0.00000860,-0.00001346,0.00002767,0.00000388,-0.00002070,-0.00002240,-0.00002480,
0.00000603,0.00000459,-0.00002223,-0.00000222,0.00000000,0.00000000,-0.00001095,-0.00001049,-0.00003111,-0.00000789,-0.00001441,0.00003066,0.00000323,-0.00001822,-0.00000454,-0.00002019,
0.00000484,0.00000435,-0.00002133,-0.00000257,0.00000000,0.00000000,-0.00001273,-0.00000937,-0.00002987,-0.00000680,-0.00001502,0.00001618,0.00000259,-0.00001690,0.00002201,-0.00001457,
0.00000432,0.00000442,-0.00002123,-0.00000364,0.00000000,0.00000000,-0.00001365,-0.00000855,-0.00002963,-0.00000576,-0.00001437,-0.00002914,0.00000205,-0.00001578,0.00004482,-0.00000974,
0.00000509,0.00000420,-0.00002124,-0.00000467,0.00000000,0.00000000,-0.00001265,-0.00000873,-0.00003020,-0.00000473,-0.00001280,-0.00009309,0.00000239,-0.00001153,0.00005073,-0.00001034,
0.00000664,0.00000338,-0.00002104,-0.00000441,0.00000000,0.00000000,-0.00001040,-0.00000937,-0.00003046,-0.00000371,-0.00001150,-0.00013982,0.00000318,-0.00000283,0.00003656,-0.00001755,
0.00000765,0.00000205,-0.00002080,-0.00000313,0.00000000,0.00000000,-0.00000894,-0.00000981,-0.00002932,-0.00000253,-0.00001129,-0.00013970,0.00000312,0.00001234,0.00001193,-0.00002487,
0.00000769,0.00000086,-0.00002082,-0.00000276,0.00000000,0.00000000,-0.00000957,-0.00000985,-0.00002679,-0.00000130,-0.00001142,-0.00010059,0.00000149,0.00003224,-0.00000955,-0.00002803,
0.00000768,0.00000061,-0.00002119,-0.00000457,0.00000000,0.00000000,-0.00001150,-0.00000967,-0.00002415,-0.00000051,-0.00001061,-0.00005977,-0.00000094,0.00004902,-0.00002223,-0.00003145,
0.00000794,0.00000107,-0.00002135,-0.00000690,0.00000000,0.00000000,-0.00001294,-0.00000935,-0.00002346,-0.00000044,-0.00000951,-0.00003708,-0.00000266,0.00003934,-0.00002856,-0.00004064,
0.00000765,0.00000189,-0.00002078,-0.00000766,0.00000000,0.00000000,-0.00001296,-0.00000898,-0.00002563,-0.00000091,-0.00000965,-0.00002338,-0.00000314,-0.00002189,-0.00003220,-0.00005762,
0.00000647,0.00000329,-0.00002031,-0.00000718,0.00000000,0.00000000,-0.00001177,-0.00000930,-0.00002763,-0.00000140,-0.00001084,-0.00001701,-0.00000278,-0.00009472,-0.00003019,-0.00007039,
0.00000512,0.00000456,-0.00002051,-0.00000655,0.00000000,0.00000000,-0.00001070,-0.00001017,-0.00002715,-0.00000139,-0.00001218,-0.00002414,-0.00000228,-0.00011588,-0.00001480,-0.00006504,
0.00000459,0.00000464,-0.00002034,-0.00000669,0.00000000,0.00000000,-0.00001085,-0.00001021,-0.00002715,-0.00000119,-0.00001318,-0.00003485,-0.00000207,-0.00010326,0.00001314,-0.00005072,
0.00000483,0.00000424,-0.00001936,-0.00000810,0.00000000,0.00000000,-0.00001132,-0.00000968,-0.00002965,-0.00000159,-0.00001309,-0.00004026,-0.00000154,-0.00009299,0.00004304,-0.00003636,
0.00000490,0.00000461,-0.00001844,-0.00000960,0.00000000,0.00000000,-0.00001129,-0.00000933,-0.00003206,-0.00000262,-0.00001211,-0.00004781,-0.00000090,-0.00008008,0.00006638,-0.00001865,
0.00000439,0.00000571,-0.00001801,-0.00000981,0.00000000,0.00000000,-0.00001202,-0.00000826,-0.00003222,-0.00000377,-0.00001162,-0.00006455,-0.00000182,-0.00006763,0.00008090,-0.00000233,
0.00000417,0.00000613,-0.00001781,-0.00000924,0.00000000,0.00000000,-0.00001415,-0.00000646,-0.00003141,-0.00000482,-0.00001198,-0.00008867,-0.00000311,-0.00005970,0.00008765,0.00000808,
0.00000489,0.00000489,-0.00001774,-0.00000900,0.00000000,0.00000000,-0.00001638,-0.00000571,-0.00003174,-0.00000534,-0.00001248,-0.00011483,-0.00000217,-0.00003914,0.00008860,0.00001529,
0.00000565,0.00000294,-0.00001802,-0.00000880,0.00000000,0.00000000,-0.00001733,-0.00000720,-0.00003320,-0.00000455,-0.00001297,-0.00013956,0.00000025,0.00000489,0.00008453,0.00001778,
0.00000566,0.00000196,-0.00001857,-0.00000776,0.00000000,0.00000000,-0.00001667,-0.00000983,-0.00003396,-0.00000326,-0.00001400,-0.00016334,0.00000197,0.00005544,0.00007682,0.00001217,
0.00000552,0.00000255,-0.00001865,-0.00000637,0.00000000,0.00000000,-0.00001510,-0.00001140,-0.00003281,-0.00000290,-0.00001593,-0.00017809,0.00000214,0.00008638,0.00006875,-0.00000001,
0.00000611,0.00000408,-0.00001754,-0.00000660,0.00000000,0.00000000,-0.00001364,-0.00001135,-0.00003059,-0.00000277,-0.00001812,-0.00016307,0.00000096,0.00009454,0.00006137,-0.00001462,
0.00000674,0.00000525,-0.00001572,-0.00000879,0.00000000,0.00000000,-0.00001257,-0.00001075,-0.00002868,-0.00000206,-0.00001915,-0.00012356,-0.00000021,0.00009345,0.00005403,-0.00002673,
0.00000614,0.00000551,-0.00001455,-0.00001060,0.00000000,0.00000000,-0.00001163,-0.00001032,-0.00002749,-0.00000175,-0.00001811,-0.00008736,0.00000007,0.00008537,0.00004892,-0.00003240,
0.00000540,0.00000574,-0.00001455,-0.00001047,0.00000000,0.00000000,-0.00001099,-0.00000979,-0.00002723,-0.00000233,-0.00001600,-0.00004459,0.00000134,0.00005766,0.00004998,-0.00003228,
0.00000580,0.00000657,-0.00001539,-0.00000943,0.00000000,0.00000000,-0.00001055,-0.00000897,-0.00002805,-0.00000320,-0.00001461,0.00004088,0.00000222,0.00000871,0.00005614,-0.00002861,
0.00000578,0.00000697,-0.00001687,-0.00000927,0.00000000,0.00000000,-0.00000936,-0.00000833,-0.00002937,-0.00000395,-0.00001465,0.00017280,0.00000231,-0.00004380,0.00005811,-0.00002037,
0.00000431,0.00000587,-0.00001853,-0.00000989,0.00000000,0.00000000,-0.00000777,-0.00000803,-0.00003034,-0.00000456,-0.00001567,0.00029870,0.00000182,-0.00008864,0.00004573,-0.00000778,
0.00000240,0.00000425,-0.00001935,-0.00000991,0.00000000,0.00000000,-0.00000694,-0.00000794,-0.00003051,-0.00000510,-0.00001675,0.00034083,0.00000122,-0.00012432,0.00001921,0.00000484,
0.00000081,0.00000440,-0.00001881,-0.00000927,0.00000000,0.00000000,-0.00000627,-0.00000844,-0.00002997,-0.00000568,-0.00001686,0.00026676,0.00000129,-0.00014599,-0.00000870,0.00001318,
-0.00000011,0.00000650,-0.00001834,-0.00000881,0.00000000,0.00000000,-0.00000517,-0.00000908,-0.00002893,-0.00000621,-0.00001570,0.00012242,0.00000173,-0.00015333,-0.00002402,0.00001352,
0.00000003,0.00000805,-0.00001980,-0.00000888,0.00000000,0.00000000,-0.00000448,-0.00000893,-0.00002799,-0.00000622,-0.00001419,-0.00000775,0.00000123,-0.00014783,-0.00002378,0.00000258,
0.00000073,0.00000764,-0.00002226,-0.00000957,0.00000000,0.00000000,-0.00000461,-0.00000871,-0.00002859,-0.00000516,-0.00001363,-0.00006609,-0.00000064,-0.00012174,-0.00001665,-0.00001754,
0.00000109,0.00000648,-0.00002346,-0.00001019,0.00000000,0.00000000,-0.00000518,-0.00000967,-0.00003056,-0.00000387,-0.00001431,-0.00005563,-0.00000275,-0.00007618,-0.00001282,-0.00003719,
0.00000089,0.00000620,-0.00002305,-0.00000966,0.00000000,0.00000000,-0.00000594,-0.00001136,-0.00003150,-0.00000407,-0.00001517,-0.00002318,-0.00000379,-0.00003161,-0.00001399,-0.00004717,
0.00000068,0.00000664,-0.00002194,-0.00000846,0.00000000,0.00000000,-0.00000715,-0.00001282,-0.00003025,-0.00000549,-0.00001480,-0.00001221,-0.00000313,-0.00000014,-0.00002005,-0.00004764,
0.00000101,0.00000630,-0.00002079,-0.00000778,0.00000000,0.00000000,-0.00000957,-0.00001373,-0.00002772,-0.00000684,-0.00001257,-0.00004010,-0.00000085,0.00002956,-0.00003518,-0.00004248,
0.00000172,0.00000475,-0.00002054,-0.00000770,0.00000000,0.00000000,-0.00001246,-0.00001348,-0.00002669,-0.00000779,-0.00001052,-0.00009414,0.00000105,0.00006092,-0.00005198,-0.00003492,
0.00000233,0.00000288,-0.00002171,-0.00000750,0.00000000,0.00000000,-0.00001425,-0.00001219,-0.00002900,-0.00000810,-0.00001084,-0.00014010,0.00000078,0.00008345,-0.00005677,-0.00003480,
0.00000281,0.00000185,-0.00002288,-0.00000652,0.00000000,0.00000000,-0.00001526,-0.00001164,-0.00003161,-0.00000837,-0.00001216,-0.00016170,0.00000002,0.00010249,-0.00005159,-0.00004741,
0.00000326,0.00000230,-0.00002294,-0.00000550,0.00000000,0.00000000,-0.00001548,-0.00001230,-0.00003147,-0.00000958,-0.00001314,-0.00016160,0.00000025,0.00011653,-0.00004027,-0.00005819,
0.00000369,0.00000378,-0.00002270,-0.00000535,0.00000000,0.00000000,-0.00001423,-0.00001321,-0.00002999,-0.00001098,-0.00001403,-0.00012780,0.00000093,0.00009722,-0.00002361,-0.00004969,
0.00000401,0.00000513,-0.00002288,-0.00000528,0.00000000,0.00000000,-0.00001359,-0.00001427,-0.00002926,-0.00001130,-0.00001366,-0.00005169,0.00000233,0.00003553,-0.00001364,-0.00002060,
0.00000401,0.00000547,-0.00002319,-0.00000497,0.00000000,0.00000000,-0.00001642,-0.00001509,-0.00002940,-0.00001107,-0.00001122,0.00003152,0.00000431,-0.00002947,-0.00001754,0.00001577,
0.00000366,0.00000520,-0.00002310,-0.00000505,0.00000000,0.00000000,-0.00002121,-0.00001485,-0.00002961,-0.00001131,-0.00000825,0.00006870,0.00000537,-0.00005639,-0.00002871,0.00004137,
0.00000327,0.00000572,-0.00002255,-0.00000544,0.00000000,0.00000000,-0.00002284,-0.00001396,-0.00002911,-0.00001178,-0.00000668,0.00005563,0.00000451,-0.00004654,-0.00004191,0.00004643,
0.00000294,0.00000724,-0.00002240,-0.00000579,0.00000000,0.00000000,-0.00002061,-0.00001318,-0.00002805,-0.00001176,-0.00000669,0.00005611,0.00000172,-0.00001880,-0.00005601,0.00003387,
0.00000250,0.00000836,-0.00002315,-0.00000615,0.00000000,0.00000000,-0.00001887,-0.00001242,-0.00002749,-0.00001099,-0.00000741,0.00011363,-0.00000167,0.00001188,-0.00006649,0.00001394,
0.00000190,0.00000834,-0.00002330,-0.00000634,0.00000000,0.00000000,-0.00001919,-0.00001130,-0.00002782,-0.00000968,-0.00000869,0.00016575,-0.00000307,0.00002493,-0.00006658,-0.00000225,
0.00000132,0.00000787,-0.00002206,-0.00000616,0.00000000,0.00000000,-0.00001973,-0.00001027,-0.00002830,-0.00000879,-0.00001012,0.00014346,-0.00000264,0.00000659,-0.00005898,-0.00000926,
0.00000099,0.00000775,-0.00002111,-0.00000570,0.00000000,0.00000000,-0.00001922,-0.00001022,-0.00002804,-0.00000927,-0.00001043,0.00007797,-0.00000299,-0.00003581,-0.00005508,-0.00001007,
0.00000112,0.00000779,-0.00002147,-0.00000529,0.00000000,0.00000000,-0.00001793,-0.00001088,-0.00002695,-0.00001065,-0.00000930,0.00004122,-0.00000350,-0.00008037,-0.00005816,-0.00001157,
